																																																																																																																																									NAME	Distance
Element	Site	Distance from PP	Description	Eval Date	Layer Thickness	Mass coefficient.	Na	Na	Mg	Mg	Al	Al	Si	Si	P	P	S	S	Cl	Cl	K	K	Ca	Ca	Ti	Ti	V	V	Cr	Cr	Mn	Mn	Fe	Fe	Co	Co	Ni	Ni	Cu	Cu	Zn	Zn	Ga	Ga	Ge	Ge	As	As	Se	Se	Br	Br	Kr	Kr	Rb	Rb	Sr	Sr	Y	Y	Zr	Zr	Nb	Nb	Mo	Mo	Tc	Tc	Ru	Ru	Rh	Rh	Pd	Pd	Ag	Ag	Cd	Cd	In	In	Sn	Sn	Sb	Sb	Te	Te	I	I	Xe	Xe	Cs	Cs	Ba	Ba	La	La	Ce	Ce	Pr	Pr	Nd	Nd	Pm	Pm	Sm	Sm	Er	Er	Tm	Tm	Yb	Yb	Lu	Lu	Hf	Hf	Ta	Ta	W	W	Au	Au	Hg	Hg	Tl	Tl	Pb	Pb	Bi	Bi	Th	Th	U	U	Sum Conc.		YLPP	0.00000000
Dimension					nm	cm?/g	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	%	%	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	%	%	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	%	%	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	%	%	?g/g	?g/g	?g/g	?g/g	%	%	?g/g	?g/g	%	%	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	%		YL01	0.02385448
YL01_S	YL01	0.02385448		8/13/2012 15:03	0	12.0596	0.263	0.051	1.547	0.015	7.777	0.0072	22.7	0.00001	0.0482	0.0018	0.05786	0.0005	0.01623	0.00072	2.066	0.00001	2.195	0.00077	5479	0.1	128.5	0.7	83.1	0.7	853.5	0.5	47980	0.1	20.4	12	52.4	1.8	43.2	1.1	105.9	0.6	23.5	0.7	< 0.5	0.5	14.1	0.4	< 0.5	0.5	1.5	0.3			126	0.3	125.9	0.2	31.6	0.6	196.8	0.6	19.6	1	1.2	0.9			< 0.5	0.5	< 0.5	0.5	< 0.5	0.5	4.1	0.8	< 0.4	0.4	< 0.5	0.5	2.9	0.8	0.6	0.6	< 0.5	0.5	< 0.7	0.7			4	3.8	611.5	4.7	37.4	6.6	95.7	8.1	< 4.0	4	< 5.1	5			4.7	2.2									7.3	2.7	< 1.6	1.6	3.6	1.6	< 1.0	1	< 0.7	0.7	< 0.3	0.3	35	0.6	< 0.5	0.5	14.9	0.8	< 0.4	0.4	80.1065		YL02	0.02419453
YL02_S	YL02	0.02419453		8/13/2012 15:07	0	11.4987	0.209	0.069	0.709	0.022	8.832	0.013	35.5	0.00001	0.03057	0.0022	0.01761	0.00073	0.0043	0.00078	1.395	0.00001	0.5188	0.00081	5203	0.1	84.5	0.7	60.8	0.6	699.1	0.5	36490	0.1	10.9	11	31.8	1.7	20.6	1.1	51.4	0.6	16	0.6	< 0.5	0.5	10.9	0.4	< 0.2	0.2	0.4	0.3			97.1	0.2	92.3	0.3	33.4	0.6	344.2	0.2	22.9	1.1	0.9	0.9			1.2	0.5	< 0.5	0.5	< 0.5	0.5	4.1	0.8	< 0.3	0.3	< 0.7	0.7	3	0.9	0.9	0.9	< 0.5	0.5	< 2.2	2.2			< 4.5	4.4	550.4	5.7	48.1	8.7	117.8	10	< 4.0	4	< 5.1	5			4.9	2									11.3	2.5	< 1.6	1.6	2.7	1.5	< 1.0	1	< 0.7	0.7	< 0.5	0.5	33.6	0.7	< 0.5	0.5	14.6	0.7	< 0.4	0.4	102.9998		YL03	0.02303839
YL03_S	YL03	0.02303839		8/13/2012 15:10	0	11.6118	0.263	0.047	0.942	0.015	7.747	0.0079	26.69	0.00001	0.0528	0.0018	0.06658	0.00039	0.00402	0.00074	1.482	0.00001	2.977	0.00036	5042	0.1	90.2	0.7	66.9	0.8	666.7	0.6	37350	0.1	23.8	12	33.5	1.7	31.2	1.1	92.6	0.6	19.2	0.7	< 0.5	0.5	10.7	0.3	< 0.1	0.1	< 0.3	0.3			84.1	0.2	152.3	0.2	30	0.5	299.6	0.4	19.8	1	1.3	1			0.7	0.5	< 0.5	0.5	< 0.5	0.5	4.1	0.8	< 0.4	0.4	< 0.6	0.6	4.1	0.8	0.6	0.5	< 0.5	0.5	< 0.7	0.7			< 3.9	3.9	592.3	5	47	6.7	121.8	8.3	< 4.0	4	< 21	20			11.6	2.1									11.6	2.6	< 1.6	1.6	2.7	1.5	< 1.0	1	< 0.7	0.7	0.6	0.5	41.7	0.6	< 0.5	0.5	13	0.7	< 0.4	0.4	86.3887		YL04	0.02642227
YL04_S	YL04	0.02642227		8/13/2012 15:13	0	12.3369	1.324	0.093	1.019	0.027	11.76	0.013	33.1	0.00001	0.0188	0.0021	0.04728	0.00042	0.00973	0.00078	1.277	0.00001	0.4547	0.00077	3230	0.1	28.2	0.6	24.8	0.5	152.3	0.5	23530	0.1	< 12	12	16.6	1.7	13	1.1	50	0.6	12.2	0.6	< 0.5	0.5	1.3	0.3	< 0.5	0.5	< 0.5	0.5			51.5	0.3	148.4	0.2	32.6	0.5	370.7	0.1	15.9	1.3	< 0.5	0.5			0.5	0.5	< 0.5	0.5	< 0.5	0.5	4.7	0.9	< 0.7	0.7	< 0.5	0.5	2.2	1	1.6	1.2	1	1	< 2.6	2.6			< 5.2	5.2	701.7	6.6	101.9	12	204.2	13	< 22	22	43.1	33			14.6	1.6									5.8	2.2	< 1.6	1.6	< 1.3	1.3	< 0.9	0.9	< 0.7	0.7	< 0.4	0.4	30.5	0.7	< 0.5	0.5	4.7	0.5	< 0.4	0.4	102.9985		YL05	0.02626822
YL05_S	YL05	0.02626822		8/13/2012 15:16	0	10.5533	1.356	0.071	0.738	0.021	14.53	0.0096	30.38	0.00001	0.00915	0.0019	0.03677	0.00055	0.005	0.00075	1.282	0.00001	0.3267	0.00071	3568	0.1	53.4	0.6	40.7	0.4	92	0.6	32130	0.1	14.7	12	15.9	1.7	19.2	1.1	48.9	0.6	17.1	0.6	< 0.5	0.5	2.9	0.3	< 0.3	0.3	0.3	0.2			50.3	0.2	106.3	0.2	14.6	0.5	321.4	0.4	16.4	1	0.8	0.7			0.6	0.5	0.9	0.5	< 0.5	0.5	4.2	0.8	< 0.4	0.4	< 0.7	0.7	1.6	0.9	< 0.5	0.5	< 0.5	0.5	< 0.7	0.7			< 1.0	1	648.2	6.2	17.5	9.8	62.7	11	< 4.0	4	< 5.1	5			< 8.1	8									6.5	2.3	< 1.6	1.6	< 1.2	1.2	< 0.9	0.9	< 0.7	0.7	< 0.2	0.2	38.9	0.6	< 0.5	0.5	6.3	0.6	< 0.4	0.4	102.9999		YL06	0.02552829
YL07_S	YL07	0.02547133		8/13/2012 15:20	0	11.6353	2.115	0.083	2.437	0.025	10.48	0.012	31.96	0.00001	0.0684	0.002	0.02998	0.00059	0.0024	0.0008	1.48	0.00001	0.9437	0.00075	3369	0.1	50.6	0.6	35.6	0.5	303.8	0.5	26370	0.1	< 12	12	20	1.7	11.6	1.1	59	0.6	14.8	0.6	< 0.5	0.5	< 0.5	0.5	0.5	0.3	< 0.5	0.5			57.7	0.3	214.8	0.2	44	0.5	300.9	0.5	14.3	1.3	< 0.5	0.5			0.6	0.5	< 0.5	0.5	< 0.5	0.5	4.5	0.8	< 0.5	0.5	< 0.5	0.5	1.3	0.9	< 0.5	0.5	< 0.9	0.9	< 0.7	0.7			< 1.0	1	794.7	6.3	56.8	11	98	13	< 4.0	4	< 5.1	5			5	1.6	< 7.1	7			4.6	2.2			7.1	2.3	< 1.6	1.6	< 1.2	1.2	< 0.9	0.9	< 0.7	0.7	< 0.3	0.3	33	0.7	< 0.5	0.5	6.5	0.6	< 0.4	0.4	102.9992		YL07	0.02547133
YL08_S	YL08	0.02759232		8/13/2012 16:50	0	10.562	1.345	0.051	1.288	0.015	8.504	0.0075	24.86	0.00001	0.0455	0.0017	0.01949	0.00061	0.00255	0.00074	1.678	0.00001	0.8413	0.00077	3908	0.1	45.5	0.6	36.1	0.5	430.9	0.5	27170	0.1	27.4	12	19.3	1.6	17.2	1	70.3	0.6	19.2	0.6	< 0.4	0.4	< 0.5	0.5	< 0.2	0.2	< 0.5	0.5			61.2	0.2	220	0.2	56.1	0.5	291.1	0.4	13.2	1.1	< 0.5	0.5			0.6	0.5	< 0.5	0.5	< 0.5	0.5	4.9	0.8	< 0.3	0.3	< 0.6	0.6	1	0.8	< 0.5	0.5	< 0.5	0.5	< 0.7	0.7			< 1.0	1	851.1	5.4	75.6	7.9	149.7	9.6	< 4.0	4	< 23	23			24.2	1.6	< 3.0	3			5.7	2.3			5	2.4	< 1.6	1.6	< 1.2	1.2	< 0.9	0.9	< 0.7	0.7	< 0.1	0.1	29.9	0.6	< 0.5	0.5	8.3	0.6	< 0.4	0.4	81.3826		YL08	0.02759232
